permutation,permutation_count,permutation_size
brought me through the waters the waters were to the,2,10
bullock of the sin offering which is for himself and,2,10
bullocks two rams fourteen lambs of the first year without,2,10
but i will send a fire on the wall of,2,10
but of the children of israel did solomon make no,2,10
but the fields of the city and the villages thereof,2,10
by the morning light any that pisseth against the wall,2,10
by the way of the porch of that gate and,2,10
came out against us he and all his people to,2,10
carried it aside into the house of obededom the gittite,2,10
carry me out of the host for i am wounded,2,10
chariots and twelve thousand horsemen whom he bestowed in the,2,10
clothed and in his right mind and they were afraid,2,10
commanded you to build this house and to make up,2,10
compassed me about but in the name of the lord,2,10
congregation of israel and all the congregation of israel stood,2,10
congregation of the children of israel murmured against moses and,2,10
cried unto the lord and said o lord my god,2,10
cubits and the breadth of one curtain four cubits and,2,10
cutting of stones to set them and in carving of,2,10
david enquired of the lord saying shall i go up,2,10
do according to all that i have commanded thee and,2,10
do all his commandments which i command thee this day,2,10
dwelt in the cities of judah rehoboam reigned over them,2,10
every man under his vine and under his fig tree,2,10
five on the right hand and five on the left,2,10
five on the right side and five on the left,2,10
for a bullock and two tenth deals for a ram,2,10
for a sin offering to make an atonement for you,2,10
for in six days the lord made heaven and earth,2,10
for it four rings of gold and put the rings,2,10
for it is written he shall give his angels charge,2,10
for the corners of the tabernacle in the two sides,2,10
for the earth is the lords and the fulness thereof,2,10
for the sight of thine eyes which thou shalt see,2,10
for there is nothing covered that shall not be revealed,2,10
found there and he said i will not do it,2,10
four hundred and three years and begat sons and daughters,2,10
from off the land whither thou goest to possess it,2,10
from the mouth of jeremiah all the words of the,2,10
from the rising of the sun unto the going down,2,10
from the tower of the watchmen to the fenced city,2,10
give thanks unto thee o lord among the heathen and,2,10
go out or come in to asa king of judah,2,10
god speaking out of the midst of the fire as,2,10
hand and ye shall know that i am the lord,2,10
have patience with me and i will pay thee all,2,10
he charged them that they should tell no man what,2,10
he delivered me from my strong enemy and from them,2,10
he hearkened not unto them as the lord had said,2,10
hear o israel the lord our god is one lord,2,10
hewed two tables of stone like unto the first and,2,10
him how many times shall i adjure thee that thou,2,10
him in prison for herodias sake his brother philips wife,2,10
him on horseback through the street of the city and,2,10
him that he should hold his peace but he cried,2,10
his god be with him and let him go up,2,10
his idols of silver and his idols of gold which,2,10
his son or his daughter to pass through the fire,2,10
his sons and the philistines slew jonathan and abinadab and,2,10
hissing every one that passeth thereby shall be astonished and,2,10
house like the house of jeroboam the son of nebat,2,10
huldah the prophetess the wife of shallum the son of,2,10
i am alpha and omega the beginning and the end,2,10
i am as thou art my people as thy people,2,10
i have heard the murmurings of the children of israel,2,10
i said unto the king if it please the king,2,10
i say unto you that this poor widow hath cast,2,10
i will demand of thee and declare thou unto me,2,10
i will shew kindness unto hanun the son of nahash,2,10
if any man have ears to hear let him hear,2,10
if now i have found grace in thy sight then,2,10
if they sin against thee for there is no man,2,10
if ye will not make known unto me the dream,2,10
in my distress i called upon the lord and cried,2,10
in that ye say the table of the lord is,2,10
in the book of nathan the prophet and in the,2,10
in the chariot cities and with the king at jerusalem,2,10
in the eyes of pharaoh and in the eyes of,2,10
in the midst thereof and ye shall know that i,2,10
in the name of the lord i will destroy them,2,10
in the place which the lord thy god shall choose,2,10
in the treasures of the house of the lord and,2,10
in thine heart i am and none else beside me,2,10
in thy land which the lord thy god giveth thee,2,10
in whom is the spirit of the holy gods and,2,10
into hell into the fire that never shall be quenched,2,10
into the hand of the king of babylons army which,2,10
is in the tabernacle of the congregation and shall pour,2,10
israel i will not again pass by them any more,2,10
israel rebelled against the house of david unto this day,2,10
it is better for me to die than to live,2,10
it is hard for thee to kick against the pricks,2,10
it shall be more tolerable for the land of sodom,2,10
jewels of silver and jewels of gold and raiment and,2,10
keep all the commandments which i command you this day,2,10
know not the manner of the god of the land,2,10
know that i am the lord and that i have,2,10
laid the beams thereof and set up the doors thereof,2,10
land but for the wickedness of these nations the lord,2,10
let the children of israel go out of his land,2,10
look and behold if the plague be spread in the,2,10
lord suffer me first to go and bury my father,2,10
lot came out for the tribe of the children of,2,10
make an atonement for him that is to be cleansed,2,10
many a time have they afflicted me from my youth,2,10
me a book and shaphan read it before the king,2,10
mercy seat of pure gold two cubits and a half,2,10
month in the fifth day of the month as i,2,10
month on the seven and twentieth day of the month,2,10
moreover the word of the lord came to me saying,2,10
my right hand until i make thine enemies thy footstool,2,10
my servants the prophets rising up early and sending them,2,10
neither shall it be dwelt in from generation to generation,2,10
not therefore ye are of more value than many sparrows,2,10
now the rest of the acts of jotham and all,2,10
of gold and the silver for things of silver and,2,10
of israel and put them in array against the syrians,2,10
of israel or of the strangers that sojourn among you,2,10
of jehoiakim the son of josiah king of judah saying,2,10
of sihon king of the amorites which reigned in heshbon,2,10
of the earth for the lord hath a controversy with,2,10
of the elders and chief priests and scribes and be,2,10
of the first year without blemish for a burnt offering,2,10
of the house of the lord by the hand of,2,10
of the lord according to all that jehoiakim had done,2,10
of the lord thy god to walk in his ways,2,10
of the pit shall be taken in the snare for,2,10
of the sacrifice of peace offerings and the priest shall,2,10
of the temple along by the altar and the temple,2,10
of the tribe of judah caleb the son of jephunneh,2,10
of water and threescore and ten palm trees and they,2,10
offering and the priest shall make an atonement for her,2,10
on this side the river and at such a time,2,10
one of the seven angels which had the seven vials,2,10
opened the doors of the house of the lord and,2,10
or else i will come unto thee quickly and will,2,10
our father which art in heaven hallowed be thy name,2,10
out of the land of egypt with great power and,2,10
out the canaanites that dwelt in gezer but the canaanites,2,10
over against the table on the side of the tabernacle,2,10
people of a strange speech and of an hard language,2,10
possess the land which the lord god of your fathers,2,10
pray ye that your flight be not in the winter,2,10
pray ye therefore the lord of the harvest that he,2,10
prophesy and say unto them thus saith the lord god,2,10
repaired meremoth the son of urijah the son of koz,2,10
return every man to his house for this thing is,2,10
return unto thee according to the time of life and,2,10
revolted from under the hand of judah unto this day,2,10
rolled the stone from the wells mouth and watered the,2,10
rulers of hundreds rulers of fifties and rulers of tens,2,10
said unto him if thou be the son of god,2,10
said unto them give ye them to eat and they,2,10
said who am i o lord god and what is,2,10
salt is good but if the salt have lost his,2,10
saul hath slain his thousands and david his ten thousands,2,10
say unto him the lord god of the hebrews hath,2,10
saying this cup is the new testament in my blood,2,10
send the multitude away that they may go into the,2,10
shall be an holy convocation unto you and ye shall,2,10
shall be established in the top of the mountains and,2,10
shall be raised up from the coasts of the earth,2,10
shall bring a lamb of the first year for a,2,10
shall burn it upon the altar for a sweet savour,2,10
shall gather together his elect from the four winds from,2,10
shall i not visit for these things saith the lord,2,10
shalt say unto them thus saith the lord of hosts,2,10
shew thyself to the priest and offer for thy cleansing,2,10
sing unto the lord a new song and his praise,2,10
solomon desired to build in jerusalem and in lebanon and,2,10
son of jehu king of israel saying come let us,2,10
sword against nation neither shall they learn war any more,2,10
tatnai governor on this side the river and shetharboznai and,2,10
than having two eyes to be cast into hell fire,2,10
that come not up to keep the feast of tabernacles,2,10
that i release unto you the king of the jews,2,10
that man by whom the son of man is betrayed,2,10
that man shall be cut off from among his people,2,10
that were with the captain of the guard brake down,2,10
that which is lawful and right he shall surely live,2,10
that whosoever believeth in him should not perish but have,2,10
that ye love one another as i have loved you,2,10
the abominations of the heathen whom the lord cast out,2,10
the angel of the lord appeared unto him in a,2,10
the anger of the lord be kindled against you and,2,10
the ark of the covenant of the lord your god,2,10
the body of saul and the bodies of his sons,2,10
the bullock of the sin offering which is for himself,2,10
the captain of the host of hadarezer went before them,2,10
the chapiters which were upon the top of the pillars,2,10
the chief of the fathers of the priests and levites,2,10
the children of gad and to the children of reuben,2,10
the children of israel murmured against moses and against aaron,2,10
the children of israel to do the service of the,2,10
the children of israel went out with an high hand,2,10
the city is given into the hand of the chaldeans,2,10
the counsel of the lord that he hath taken against,2,10
the entry of the new gate of the lords house,2,10
the fear of the lord is the beginning of wisdom,2,10
the fear shall fall into the pit and he that,2,10
the god and father of our lord jesus christ which,2,10
the high places were not removed the people sacrificed and,2,10
the holy things of the children of israel which they,2,10
the house of israel and the house of judah have,2,10
the king and his princes his wives and his concubines,2,10
the land which i sware unto their fathers to give,2,10
the land which the lord your god giveth you to,2,10
the latchet of whose shoes i am not worthy to,2,10
the levites and the singers and the porters and the,2,10
the lord god of israel to anger with their vanities,2,10
the lord god of your fathers the god of abraham,2,10
the lord liveth that brought up the children of israel,2,10
the lord thy god in the place which the lord,2,10
the lords doing and it is marvellous in our eyes,2,10
the lords of the philistines came up unto her and,2,10
the man stretch forth thine hand and he stretched it,2,10
the men of judah and the inhabitants of jerusalem and,2,10
the ninth hour jesus cried with a loud voice saying,2,10
the number of the tribes of the children of israel,2,10
the passover on the fourteenth day of the first month,2,10
the place which the lord thy god hath chosen to,2,10
the priest shall pronounce him unclean it is a plague,2,10
the sacrifice of peace offerings and the priest shall burn,2,10
the servants of the king of assyria have blasphemed me,2,10
the sixth part of an ephah of an homer of,2,10
the son of man is lord also of the sabbath,2,10
the stranger and the fatherless and the widow that are,2,10
the temple of the lord the temple of the lord,2,10
the time of the offering of the evening sacrifice that,2,10
the word of the lord by the mouth of jeremiah,2,10
the word of the lord came unto me again saying,2,10
the word of the lord i saw the lord sitting,2,10
the word of the lord which he spake by his,2,10
the word which came unto jeremiah from the lord when,2,10
the work of the service of the house of god,2,10
thee and give thee for a covenant of the people,2,10
thee and thou shalt know that i am the lord,2,10
their flocks and their herds and all that they have,2,10
their neck under the yoke of the king of babylon,2,10
their sons and their daughters to pass through the fire,2,10
them and come upon them over against the mulberry trees,2,10
them how many loaves have ye and they said seven,2,10
then nebuzaradan the captain of the guard carried away captive,2,10
then shall i be weak and be as another man,2,10
then shalt thou say unto them thus saith the lord,2,10
there is more hope of a fool than of him,2,10
there shall not be an old man in thine house,2,10
there was no bread for the people of the land,2,10
there was nothing in the ark save the two tables,2,10
therefore as i live saith the lord god i will,2,10
therefore pray not thou for this people neither lift up,2,10
therefore thus saith the lord god behold i am against,2,10
therefore thus saith the lord of hosts behold i will,2,10
they killed the passover on the fourteenth day of the,2,10
they shall make thee to eat grass as oxen and,2,10
they were baptized in the name of the lord jesus,2,10
thing that creepeth upon the earth after his kind and,2,10
this generation shall not pass till all these things be,2,10
this is a faithful saying and worthy of all acceptation,2,10
this is the ordinance of the law which the lord,2,10
this is the word that the lord hath spoken concerning,2,10
thou hast prayed to me against sennacherib king of assyria,2,10
thou shalt keep the commandments of the lord thy god,2,10
thou shalt not offer the blood of my sacrifice with,2,10
thou shalt not steal thou shalt not bear false witness,2,10
thou shalt not uncover the nakedness of thy mothers sister,2,10
thousand how many baskets full of fragments took ye up,2,10
three branches of the candlestick out of the one side,2,10
through ignorance against any of the commandments of the lord,2,10
thus saith the lord god woe to the bloody city,2,10
thy cattle nor thy stranger that is within thy gates,2,10
thy sins be forgiven thee or to say arise and,2,10
to be removed into all the kingdoms of the earth,2,10
to cover the two pommels of the chapiters which were,2,10
to do the work in the tabernacle of the congregation,2,10
to keep the passover unto the lord god of israel,2,10
to see the nakedness of the land ye are come,2,10
to the children of gad and to the children of,2,10
to thee will i give it and to thy seed,2,10
together unto the door of the tabernacle of the congregation,2,10
tribes of israel will i put my name for ever,2,10
unto aaron and unto eleazar and unto ithamar his sons,2,10
unto him follow me and he arose and followed him,2,10
unto him thus saith the lord god of the hebrews,2,10
unto me hast thou seen this o son of man,2,10
unto the lord a ram without blemish out of the,2,10
unto the river of egypt and the goings out of,2,10
unto the sea of the plain even the salt sea,2,10
unto thee o lord do i lift up my soul,2,10
unto you the servant is not greater than his lord,2,10
up with him spake unto him saying thus shalt thou,2,10
upon the head of him that is to be cleansed,2,10
verily i say unto you this generation shall not pass,2,10
vowed a vow unto the lord and said if thou,2,10
were three on this side and three on that side,2,10
what is thy petition and it shall be granted thee,2,10
when he began to reign and he reigned fifty and,2,10
when he was circumcised in the flesh of his foreskin,2,10
when i say unto the wicked thou shalt surely die,2,10
when sanballat the horonite and tobiah the servant the ammonite,2,10
when your fathers tempted me proved me and saw my,2,10
where is the king of hamath and the king of,2,10
which i commanded them not neither came it into my,2,10
which is and which was and which is to come,2,10
who walk not after the flesh but after the spirit,2,10
whole need not a physician but they that are sick,2,10
whom i brought forth out of the land of egypt,2,10
whom the lord cast out before the children of israel,2,10
will be your god and ye shall be my people,2,10
will cut off from thee the righteous and the wicked,2,10
will judge thee according to thy ways and will recompense,2,10
will tell you by what authority i do these things,2,10
with a strong hand and with a stretched out arm,2,10
with thee he will not fail thee nor forsake thee,2,10
with thy servant david my father that thou promisedst him,2,10
woe unto you scribes and pharisees hypocrites for ye are,2,10
ye hypocrites ye can discern the face of the sky,2,10
ye shall keep a feast unto the lord seven days,2,10
ye would that men should do to you do ye,2,10
year of hoshea son of elah king of israel that,2,10
year of joram the son of ahab king of israel,2,10
years old then thy estimation shall be of the male,2,10
your little ones which ye said should be a prey,2,10
zadok the priest and benaiah the son of jehoiada and,2,10
one golden spoon of ten shekels full of incense,10,9
gedaliah the son of ahikam the son of shaphan,7,9
and it came to pass in those days that,5,9
the ark of the covenant of the lord and,5,9
and all the congregation of the children of israel,4,9
and it came to pass in the morning that,4,9
and it came to pass when he was come,4,9
and these are the names of the sons of,4,9
and with thee will i break in pieces the,4,9
as it is written in the law of moses,4,9
by the door of the tabernacle of the congregation,4,9
fifteen cubits their pillars three and their sockets three,4,9
for i have spoken it saith the lord god,4,9
he that hath ears to hear let him hear,4,9
according to their families these cities with their villages,3,9
all the congregation of the children of israel and,3,9
and it came to pass when they were come,3,9
and it shall come to pass that when they,3,9
and the angel of the lord said unto her,3,9
and the children of israel cried unto the lord,3,9
and the priest shall burn it upon the altar,3,9
and will cut him off from among his people,3,9
as it is written in the book of the,3,9
as the lord commanded by the hand of moses,3,9
be given into the hand of the king of,3,9
before the ark of the covenant of the lord,3,9
began to reign over israel in samaria and reigned,3,9
for the day of the lord is at hand,3,9
for the mouth of the lord hath spoken it,3,9
for ye were strangers in the land of egypt,3,9
great is the lord and greatly to be praised,3,9
i am the lord and there is none else,3,9
in the place where they kill the burnt offering,3,9
in those days there was no king in israel,3,9
james the son of zebedee and john his brother,3,9
my god my god why hast thou forsaken me,3,9
not the beam that is in thine own eye,3,9
observe to do all the words of this law,3,9
on the one side and on the other side,3,9
on the third day and on the seventh day,3,9
shall be heard no more at all in thee,3,9
speak unto the children of israel saying if a,3,9
the chief priests and the scribes and the elders,3,9
the children of israel as the lord commanded moses,3,9
the lord thy god shall bless thee in all,3,9
the offerings of the lord made by fire and,3,9
the pots and the shovels and the basons and,3,9
the priests and the prophets and all the people,3,9
the young men of the princes of the provinces,3,9
then shall they know that i am the lord,3,9
therefore thus saith the lord god because thou hast,3,9
therefore thus saith the lord god behold i will,3,9
this is the thing which the lord hath commanded,3,9
to whom be glory for ever and ever amen,3,9
unto all the congregation of the children of israel,3,9
with a covering of badgers skins and shall put,3,9
a good man out of the good treasure of,2,9
a graven image and a molten image now therefore,2,9
a graven image or the likeness of any thing,2,9
a mighty hand and by a stretched out arm,2,9
according to the divisions of the families of the,2,9
according to the number of the tribes of the,2,9
according to their armies and the captain of the,2,9
according to their families the cities and their villages,2,9
according unto the word of the lord which he,2,9
after the abominations of the heathen whom the lord,2,9
again the high places which hezekiah his father had,2,9
again the kingdom of heaven is like unto a,2,9
against the holy ghost it shall not be forgiven,2,9
aholibamah the daughter of anah the daughter of zibeon,2,9
all manner of sickness and all manner of disease,2,9
all that moses the servant of the lord commanded,2,9
all the curses that are written in this book,2,9
all the evil that i have pronounced against them,2,9
all the firstborn in the land of egypt both,2,9
all the inhabitants of the land from before you,2,9
all the nations whither the lord thy god hath,2,9
all the tribes of israel to build an house,2,9
all the words that i have spoken unto thee,2,9
all things are lawful for me but all things,2,9
among you but whosoever will be great among you,2,9
an altar unto the lord in the threshingfloor of,2,9
and a ram out of the flock without blemish,2,9
and a winebibber a friend of publicans and sinners,2,9
and abraham rose up early in the morning and,2,9
and adaiah the son of jeroham the son of,2,9
and all the elders of israel came and the,2,9
and all the people both small and great and,2,9
and all the people that were with him and,2,9
and all these things shall be added unto you,2,9
and an evil man out of the evil treasure,2,9
and as corn blasted before it be grown up,2,9
and as he sat upon the mount of olives,2,9
and bare a son and she called his name,2,9
and behold a white horse and he that sat,2,9
and behold seven other kine came up after them,2,9
and behold the glory of the god of israel,2,9
and caught hold on the horns of the altar,2,9
and confess thy name and pray and make supplication,2,9
and decked with gold and precious stones and pearls,2,9
and every creeping thing that creepeth upon the earth,2,9
and give thanks at the remembrance of his holiness,2,9
and great multitudes followed him and he healed them,2,9
and have not obeyed the voice of the lord,2,9
and he cast for it four rings of gold,2,9
and he rode upon a cherub and did fly,2,9
and he said neither hath the lord chosen this,2,9
and he said unto him take thy bill and,2,9
and he said unto him thus saith the lord,2,9
and he shall be my son and i will,2,9
and he shall besiege thee in all thy gates,2,9
and he shall make an atonement for the holy,2,9
and he shall wash his clothes and be clean,2,9
and he took the cup and gave thanks and,2,9
and her daughters shall return to their former estate,2,9
and his hand was restored whole as the other,2,9
and his kingdom that which shall not be destroyed,2,9
and his purposes that he hath purposed against the,2,9
and i will draw out a sword after them,2,9
and i will dwell in the midst of thee,2,9
and i will make an everlasting covenant with them,2,9
and i will make of thee a great nation,2,9
and if thine eye offend thee pluck it out,2,9
and in the beginnings of your months ye shall,2,9
and inhabit them and they shall plant vineyards and,2,9
and isaiah said unto them thus shall ye say,2,9
and it came to pass after this that absalom,2,9
and it came to pass after this that there,2,9
and it came to pass as the ark of,2,9
and it came to pass at that time that,2,9
and it came to pass at that time when,2,9
and it came to pass at the seventh time,2,9
and it came to pass in the days of,2,9
and it came to pass in the twelfth year,2,9
and it came to pass in those days when,2,9
and it came to pass on the third day,2,9
and it came to pass that after three days,2,9
and it came to pass that as he was,2,9
and it came to pass that as soon as,2,9
and it came to pass that as they went,2,9
and it came to pass that in the morning,2,9
and it came to pass that night that the,2,9
and it came to pass when all the kings,2,9
and it came to pass when the king of,2,9
and it shall be unto the children of israel,2,9
and it shall come to pass as soon as,2,9
and it shall come to pass at that day,2,9
and it shall come to pass in the day,2,9
and it shall come to pass when the lord,2,9
and it shall come to pass when thou shalt,2,9
and it shall come to pass when ye be,2,9
and jehoshaphat said let not the king say so,2,9
and joshua the son of nun the servant of,2,9
and made it a day of feasting and gladness,2,9
and manoah said unto the angel of the lord,2,9
and moses did as the lord commanded him and,2,9
and overtook zedekiah in the plains of jericho and,2,9
and rehoboam slept with his fathers and was buried,2,9
and say unto him thus saith the lord god,2,9
and smote them with the edge of the sword,2,9
and some of the chief of the fathers gave,2,9
and the altar of burnt offering with all his,2,9
and the amalekites and the children of the east,2,9
and the angel of the lord appeared unto him,2,9
and the angel of the lord said unto him,2,9
and the angel of the lord said unto manoah,2,9
and the ark of the covenant of the lord,2,9
and the arvadite and the zemarite and the hamathite,2,9
and the child grew and waxed strong in spirit,2,9
and the glory of the lord filled the tabernacle,2,9
and the hand of the lord was there upon,2,9
and the hivite and the arkite and the sinite,2,9
and the holy garments for aaron the priest and,2,9
and the kidneys and the caul above the liver,2,9
and the lord heard the voice of your words,2,9
and the lord said unto me behold i have,2,9
and the lord spake unto moses and aaron in,2,9
and the lord spake unto moses say unto aaron,2,9
and the lord thy god shall bless thee in,2,9
and the man brought the men into josephs house,2,9
and the other lamb shalt thou offer at even,2,9
and the other lamb thou shalt offer at even,2,9
and the posts thereof and the arches thereof were,2,9
and the priest shall burn the memorial of it,2,9
and the priests and the prophets and all the,2,9
and the sides thereof round about and the horns,2,9
and the singers and the porters and the nethinims,2,9
and the sons of cush seba and havilah and,2,9
and the sons of midian ephah and epher and,2,9
and the sons of the prophets that were at,2,9
and the stranger and the fatherless and the widow,2,9
and the thing certain that such abomination is wrought,2,9
and the veil of the temple was rent in,2,9
and the whole congregation of the children of israel,2,9
and there is none else there is no god,2,9
and there is none that can deliver out of,2,9
and there was war between rehoboam and jeroboam all,2,9
and these are the names of his daughters mahlah,2,9
and they made their father drink wine that night,2,9
and they put his armour in the house of,2,9
and they rose up early in the morning and,2,9
and thou shalt not escape out of their hand,2,9
and thou shalt rejoice before the lord thy god,2,9
and we took all his cities at that time,2,9
and when the children of ammon saw that they,2,9
and will cut off man and beast from it,2,9
and ye shall know that i the lord have,2,9
and ye shall rejoice before the lord your god,2,9
answered and said unto them i will also ask,2,9
are silver and gold the work of mens hands,2,9
ark of shittim wood two cubits and a half,2,9
art thou the king of the jews and he,2,9
as i live saith the lord god surely because,2,9
as it is written in the book of moses,2,9
as the sand of the sea which cannot be,2,9
at the banquet of wine what is thy petition,2,9
awake psaltery and harp i myself will awake early,2,9
baalhanan the son of achbor reigned in his stead,2,9
be consumed by the sword and by the famine,2,9
be eaten at all on the third day it,2,9
be found there and he said i will not,2,9
be gathered unto thy people as aaron thy brother,2,9
be my son and i will be his father,2,9
be strong and of a good courage for thou,2,9
because they have forsaken the covenant of the lord,2,9
because they obeyed not the voice of the lord,2,9
before the lord and the priests aarons sons shall,2,9
before thee to smite the host of the philistines,2,9
behold dagon was fallen upon his face to the,2,9
behold the days come saith the lord that the,2,9
behold with thine eyes and hear with thine ears,2,9
believe on the name of the son of god,2,9
between bethel and ai on the west side of,2,9
bezaleel and aholiab and every wise hearted man in,2,9
blessed be the lord god of israel from everlasting,2,9
boards for the tabernacle of shittim wood standing up,2,9
both of them shall surely be put to death,2,9
bringing gold and silver ivory and apes and peacocks,2,9
brought them up out of the land of egypt,2,9
but destruction shall be to the workers of iniquity,2,9
but new wine must be put into new bottles,2,9
but thou art the same and thy years shall,2,9
by my god have i leaped over a wall,2,9
by night and smote the edomites which compassed him,2,9
by night by the way of the gate between,2,9
by the kings commandment and the decree was given,2,9
came and spread themselves in the valley of rephaim,2,9
came into the land of the children of ammon,2,9
came the word of the lord unto me saying,2,9
came to mount ephraim to the house of micah,2,9
caused their terror in the land of the living,2,9
charged them that they should not make him known,2,9
command the children of israel and say unto them,2,9
command the priests that bear the ark of the,2,9
concerning john what went ye out into the wilderness,2,9
corner of the housetop than with a brawling woman,2,9
could not drink of the water of the river,2,9
cried unto thee thou heardest them from heaven and,2,9
curseth father or mother let him die the death,2,9
day of the second month in the second year,2,9
days that the word of the lord came unto,2,9
delivered them out of the hand of those that,2,9
destroy it from off the face of the earth,2,9
devour widows houses and for a pretence make long,2,9
did according to all things that jehoiada the priest,2,9
drink and i will give thy camels drink also,2,9
drink of the cup that i drink of and,2,9
dwelt among the canaanites the inhabitants of the land,2,9
each man according to the interpretation of his dream,2,9
early and sending them but ye have not hearkened,2,9
er and onan died in the land of canaan,2,9
even an offering made by fire unto the lord,2,9
even unto the lord but he answered them not,2,9
every man from his evil way that i may,2,9
every one from his evil way and from the,2,9
every one that passeth among them that are numbered,2,9
evi and rekem and zur and hur and reba,2,9
evil in the sight of the lord as did,2,9
evil in the sight of the lord but not,2,9
fall now into the hand of the lord for,2,9
familiar spirits and the wizards out of the land,2,9
father bless me even me also o my father,2,9
filled him with the spirit of god in wisdom,2,9
five curtains by themselves and six curtains by themselves,2,9
five hundred reeds with the measuring reed round about,2,9
fled and that saul and his sons were dead,2,9
flour for a meat offering mingled with oil and,2,9
for all the firstborn of the children of israel,2,9
for an offering made by fire unto the lord,2,9
for by thee i have run through a troop,2,9
for i am god and there is none else,2,9
for i am with thee saith the lord to,2,9
for i was an hungred and ye gave me,2,9
for if ye love them which love you what,2,9
for it is not ye that speak but the,2,9
for it is written cursed is every one that,2,9
for the children of israel and the children of,2,9
for the destruction of the daughter of my people,2,9
for the word of god and for the testimony,2,9
for thus saith the lord god behold i will,2,9
for thus saith the lord the god of israel,2,9
for who hath known the mind of the lord,2,9
for whosoever hath to him shall be given and,2,9
for why will ye die o house of israel,2,9
found them asleep again for their eyes were heavy,2,9
from among this congregation that i may consume them,2,9
from god the father and the lord jesus christ,2,9
from it doing that which was right in the,2,9
from pharaoh from his servants and from his people,2,9
from the children of ammon and from the philistines,2,9
gave her the upper springs and the nether springs,2,9
gird yourselves and ye shall be broken in pieces,2,9
go thy way thy faith hath made thee whole,2,9
god do so to me and more also if,2,9
god even the father of our lord jesus christ,2,9
god to walk in all his ways and to,2,9
goeth as it is written of him but woe,2,9
grace mercy and peace from god the father and,2,9
had digged in the days of abraham his father,2,9
had done evil in the sight of the lord,2,9
haggai the prophet and zechariah the son of iddo,2,9
half a shekel after the shekel of the sanctuary,2,9
hand that the lord should deliver jerusalem out of,2,9
hast kept with thy servant david my father that,2,9
hated me for they were too strong for me,2,9
hath any of the gods of the nations delivered,2,9
have brought them into the land which i sware,2,9
have mercy upon me o lord for i am,2,9
he and all the people that were with him,2,9
he built altars in the house of the lord,2,9
he hath said which heard the words of god,2,9
he may not put her away all his days,2,9
he shall build an house for my name and,2,9
he that glorieth let him glory in the lord,2,9
hearken not unto the words of the prophets that,2,9
hearken to the voice of the lord thy god,2,9
her give me i pray thee a little water,2,9
hewers of wood and drawers of water for the,2,9
hezekiah saying thus saith the lord god of israel,2,9
him and the third day he shall rise again,2,9
hiram king of tyre sent messengers to david and,2,9
his commandments which i command thee this day that,2,9
his father and his mother that begat him shall,2,9
his mother and all the people shall say amen,2,9
his sons saying this is the law of the,2,9
his statutes and his commandments which i command thee,2,9
his throne and all the host of heaven standing,2,9
horse and he that sat on him had a,2,9
houghed all the chariot horses but reserved of them,2,9
hundred and seven years and begat sons and daughters,2,9
hundred and thirty years and begat sons and daughters,2,9
i brought them out of the land of egypt,2,9
i have a few things against thee because thou,2,9
i say unto thee arise and take up thy,2,9
i say unto you ye shall not see me,2,9
i will bring again the captivity of my people,2,9
i will even set my face against that soul,2,9
i will judge you in the border of israel,2,9
i will kindle a fire in the wall of,2,9
i will praise thee o lord among the people,2,9
i will stretch out mine hand upon thee and,2,9
if a man keep my saying he shall never,2,9
in bethany in the house of simon the leper,2,9
in that day saith the lord of hosts shall,2,9
in the book of the law of god and,2,9
in the cave that is in the field of,2,9
in the court of the tabernacle of the congregation,2,9
in the days of hezekiah king of judah and,2,9
in the days of uzziah king of judah and,2,9
in the ears of all the men of shechem,2,9
in the hill of hachilah which is before jeshimon,2,9
in the land of judah and in the cities,2,9
in the land that i gave to your fathers,2,9
in the land whither thou goest to possess it,2,9
in the land whither ye go to possess it,2,9
in the midst of the uncircumcised with them that,2,9
in the mountain and three thousand and six hundred,2,9
in the plains of jericho and all his army,2,9
in the sight of the lord and served baalim,2,9
in the third year of asa king of judah,2,9
in the valley of the son of hinnom to,2,9
in the way of jeroboam and in his sin,2,9
in those days was hezekiah sick unto death and,2,9
inheritance in the son of jesse every man to,2,9
into the hand of nebuchadnezzar the king of babylon,2,9
into whatsoever city ye enter and they receive you,2,9
is not lawful to eat but for the priests,2,9
is preferred before me for he was before me,2,9
is upon the bank of the river arnon and,2,9
it according to the word of the lord which,2,9
it came to pass in the morning when the,2,9
it came to pass when the children of israel,2,9
it came to pass when the time was come,2,9
it is like a grain of mustard seed which,2,9
it may be the lord thy god will hear,2,9
it was in thine heart to build an house,2,9
jehoshaphat did i not tell thee that he would,2,9
jehu the son of jehoshaphat the son of nimshi,2,9
jesus said unto him verily i say unto thee,2,9
jesus thou son of david have mercy on me,2,9
john the baptist but some say elias and others,2,9
joshua the son of josedech the high priest and,2,9
keep the charge of the tabernacle of the congregation,2,9
kept the feast of unleavened bread seven days with,2,9
kept the passover on the fourteenth day of the,2,9
king arad the canaanite which dwelt in the south,2,9
king of babylon came nebuzaradan captain of the guard,2,9
king of judah and in the days of jeroboam,2,9
know to refuse the evil and choose the good,2,9
lamb of the first year without blemish for a,2,9
let him go and return unto his house lest,2,9
let me not fall into the hand of man,2,9
let them praise the name of the lord for,2,9
let us eat and drink for to morrow we,2,9
lifted up his eyes and looked and behold there,2,9
lifted up mine eyes and looked and behold a,2,9
made heaven and earth and the sea and all,2,9
made heaven and earth the sea and all that,2,9
